Zp,LR,VpVs,MR,Den,Facies
7298.34326172,23.76939964,1.90320694,14.75104904,2.46727061,1.0
7304.32763672,23.87739372,1.90468442,14.73991299,2.47754955,1.0
7312.77294922,23.95078468,1.90485358,14.76447201,2.48655224,0.0
7348.46533203,23.61523628,1.88963163,15.19662952,2.48128104,1.0
7383.95507812,23.26796341,1.87412286,15.63313675,2.47578049,1.0
7419.24414062,22.90912056,1.85833156,16.07393646,2.47005224,1.0
7454.33349609,22.53868484,1.84225726,16.51904678,2.46409512,0.0
7489.22363281,22.15665436,1.82589984,16.96846962,2.45790911,0.0
7512.81689453,21.65090179,1.80832219,17.39589882,2.44840312,1.0
7504.83105469,20.87458611,1.78934526,17.7242794,2.43111658,1.0
7497.07568359,20.11179352,1.77067935,18.04762268,2.41406918,1.0
7489.55078125,19.36263084,1.7523272,18.36587334,2.397264,1.0
7482.25292969,18.62685585,1.73428309,18.67913055,2.38069725,1.0
7475.32373047,17.91872787,1.71689641,18.98132324,2.3646872,1.0
7473.86865234,17.6921463,1.71096814,19.08379745,2.35689783,1.0
7476.69335938,17.85335159,1.71429169,19.02448082,2.3557694,0.0
7479.3515625,18.00934601,1.71751475,18.966518399999998,2.35461187,0.0
7481.84228516,18.16012764,1.72063732,18.90991402,2.35342526,1.0
7484.11230469,18.30234337,1.72358978,18.85593033,2.35223746,1.0
7486.22607422,18.43957329,1.72644579,18.80327034,2.35102224,1.0
7490.88232422,18.40955734,1.72527862,18.85323334,2.34973145,1.0
7496.97705078,18.30239487,1.72222865,18.95253181,2.34843278,1.0
7503.29101562,18.19589615,1.7191714,19.05315018,2.34715676,1.0
7509.86230469,18.08946228,1.71608937,19.15566826,2.34589648,1.0
7516.65429688,17.98369408,1.71299994,19.25951576,2.34465909,1.0
7523.66748047,17.87859154,1.709903,19.36469269,2.34344459,1.0
7552.86816406,18.09138489,1.71139312,19.4811821,2.34556317,1.0
7589.23632812,18.40884018,1.71440876,19.60035324,2.34877872,1.0
7625.5,18.72478676,1.71740341,19.7194767,2.35198092,1.0
7661.33789062,19.03637314,1.72034931,19.83752823,2.35514045,1.0
7696.75048828,19.3435955,1.72324646,19.95450401,2.35825777,1.0
7731.75292969,19.64669228,1.72609818,20.07040405,2.36133456,1.0
7699.61181641,20.75213814,1.76114213,19.27330208,2.38303185,0.0
7655.99707031,22.03292274,1.80270791,18.30108643,2.4085474,0.0
7612.84472656,23.3205471,1.84436893,17.32897568,2.4341135,0.0
7570.15625,24.61501884,1.88612509,16.35696983,2.45972967,0.0
7527.93164062,25.91634178,1.92797673,15.38506794,2.48539615,0.0
7493.87988281,27.02984619,1.96359277,14.56911755,2.50716949,0.0
7497.58300781,27.1991024,1.96847105,14.51181889,2.50976276,0.0
7500.91357422,27.36554527,1.97334743,14.45314121,2.51232052,0.0
7503.87109375,27.52916908,1.97822177,14.39308262,2.51484299,0.0
7506.45605469,27.68997192,1.98309422,14.33164215,2.51732969,0.0
7508.67382812,27.84794998,1.9879626,14.26887321,2.51978135,0.0
7529.23095703,28.02276993,1.98870802,14.33726978,2.52279449,0.0
7561.53710938,28.21226883,1.98694623,14.48770714,2.526232,0.0
7594.02636719,28.40249825,1.98516273,14.63915539,2.52969646,0.0
