Well,PHIE,SWE,Reservoir
Demo_Well_12,0.25972,0.41534,VENUS
Demo_Well_12,0.26129,0.428,VENUS
Demo_Well_12,0.2608,0.43664,VENUS
Demo_Well_12,0.25515,0.43372,VENUS
Demo_Well_12,0.24069,0.42619,VENUS
Demo_Well_12,0.21658,0.42992,VENUS
Demo_Well_12,0.18692,0.45148,VENUS
Demo_Well_12,0.16347,1.0,VENUS
Demo_Well_12,0.14639,1.0,VENUS
Demo_Well_12,0.14335,0.62502,VENUS
Demo_Well_12,0.15328,0.64183,VENUS
Demo_Well_12,0.16647,0.63141,VENUS
Demo_Well_12,0.17778,0.57888,VENUS
Demo_Well_12,0.17887,0.54744,VENUS
Demo_Well_12,0.17456,0.52506,VENUS
Demo_Well_12,0.16808,0.53326,VENUS
Demo_Well_12,0.16977,0.54271,VENUS
Demo_Well_12,0.1782,0.55152,VENUS
Demo_Well_12,0.19907,0.51949,VENUS
Demo_Well_12,0.2185,0.49772,VENUS
Demo_Well_12,0.23205,0.46185,VENUS
Demo_Well_12,0.23887,0.44493,VENUS
Demo_Well_12,0.23936,0.44287,VENUS
Demo_Well_12,0.23267,0.44888,VENUS
Demo_Well_12,0.21392,0.44912,VENUS
Demo_Well_12,0.20075,0.44316,VENUS
Demo_Well_12,0.18531,0.4537,VENUS
Demo_Well_12,0.18562,0.47043,VENUS
Demo_Well_12,0.19241,0.47558,VENUS
Demo_Well_12,0.20557,0.46082,VENUS
Demo_Well_12,0.21657,0.43084,VENUS
Demo_Well_12,0.22269,0.40579,VENUS
Demo_Well_12,0.22337,0.39184,VENUS
Demo_Well_12,0.21288,0.37951,VENUS
Demo_Well_12,0.20376,0.37223,VENUS
Demo_Well_12,0.20111,0.38405,VENUS
Demo_Well_12,0.21254,0.38781,VENUS
Demo_Well_12,0.22932,0.38895,VENUS
Demo_Well_12,0.25261,0.39062,VENUS
Demo_Well_12,0.26361,0.39697,VENUS
Demo_Well_12,0.27235,0.39603,VENUS
Demo_Well_12,0.27352,0.40062,VENUS
Demo_Well_12,0.26711,0.40649,VENUS
Demo_Well_12,0.24694,0.42793,VENUS
Demo_Well_12,0.21177,0.47342,VENUS
Demo_Well_12,0.17581,0.5632,VENUS
Demo_Well_12,0.14423,1.0,VENUS
Demo_Well_12,0.1286,1.0,VENUS
Demo_Well_12,0.11733,1.0,VENUS
Demo_Well_12,0.10902,1.0,VENUS
Demo_Well_12,0.09776,1.0,VENUS
Demo_Well_12,0.1235,1.0,VENUS
Demo_Well_12,0.14131,1.0,VENUS
Demo_Well_12,0.16028,1.0,VENUS
Demo_Well_12,0.17731,0.64401,VENUS
Demo_Well_12,0.19488,0.59195,VENUS
Demo_Well_12,0.21874,0.55326,VENUS
Demo_Well_12,0.23571,0.52986,VENUS
Demo_Well_12,0.24198,0.51936,VENUS
Demo_Well_12,0.22941,0.53755,VENUS
Demo_Well_12,0.20496,0.56342,VENUS
Demo_Well_12,0.17347,0.61475,VENUS
Demo_Well_12,0.13834,1.0,VENUS
Demo_Well_12,0.10359,1.0,VENUS
Demo_Well_12,0.10722,1.0,VENUS
Demo_Well_12,0.13335,1.0,VENUS
